month_day,n_years_with_data,tmax_record_high,tmax_record_high_years,tmax_record_low,tmax_record_low_years,tmean_record_high,tmean_record_high_years,tmean_record_low,tmean_record_low_years,tmin_record_high,tmin_record_high_years,tmin_record_low,tmin_record_low_years,precip_record_high,precip_record_high_years
07-27,153,35.9,2010,18.7,1983,30.0,2010,16.5,1983,25.0,"2010, 2012",12.6,1917,84.1,1983
07-28,153,39.0,1981,22.9,1983,30.5,1981,17.3,1983,26.8,2017,12.8,1983,100.1,1875
07-29,153,37.3,1981,22.5,1983,29.1,2025,18.6,1983,25.0,"1981, 2012",15.3,1985,55.5,1885
07-30,153,39.4,2000,23.6,"1917, 2013",30.4,2000,17.2,1880,26.3,2001,14.1,2013,74.5,1880
07-31,153,38.1,2000,22.6,1982,29.1,1957,18.9,1982,26.5,2025,14.5,1979,60.0,1886
08-01,153,35.6,2010,21.5,1982,31.0,1954,17.2,1982,25.9,2001,14.6,1982,117.6,1991
08-02,153,34.0,2025,23.5,1968,29.3,2010,18.3,1968,26.1,2001,14.8,1982,40.2,1966
08-03,153,33.3,2012,23.0,1968,28.7,2001,18.0,1982,25.5,2001,15.0,1915,64.0,1879
08-04,153,34.3,1957,21.7,1947,28.5,"1936, 2010",18.4,1982,25.4,1998,14.6,1947,177.0,1878
08-05,153,35.6,2010,21.3,1978,29.7,2010,15.4,1879,26.7,1909,13.5,1928,65.2,1997
08-06,153,35.9,2023,22.6,1915,29.3,2023,18.6,1969,25.4,1936,13.2,1969,71.2,1984
08-07,153,36.1,2010,22.8,1990,29.6,2007,18.9,1969,25.7,2021,13.8,1969,40.5,1880
08-08,153,33.0,2010,22.5,1984,28.1,2010,19.4,1984,24.8,2010,14.1,1969,76.7,1952
08-09,153,33.9,2010,22.3,1928,28.6,2010,18.2,1906,25.2,1891,15.5,2009,93.7,1954
08-10,153,35.1,2010,20.7,1928,29.4,1930,17.1,1928,24.4,2010,13.9,1974,151.0,1886
08-11,153,34.1,2017,20.4,1919,28.7,1930,16.5,1919,26.0,1930,12.9,1928,81.0,1895
08-12,153,33.5,"1970, 2010",19.6,1973,29.0,2001,16.8,1934,24.8,2010,14.0,1928,102.0,1999
08-13,153,34.2,1974,19.4,1919,28.9,2001,16.2,1919,25.7,2023,13.3,1919,62.7,1935
08-14,153,33.9,1948,22.7,1919,29.2,2001,16.1,1883,26.6,2001,11.5,1919,40.0,1884
08-15,153,34.2,1948,18.6,1928,28.6,1948,16.1,1928,24.7,2006,12.8,1923,55.0,1884
08-16,153,33.7,2008,21.4,1910,28.5,2023,16.7,1928,24.8,2014,10.4,1923,70.0,1976
08-17,153,34.8,2023,21.4,1919,33.1,1877,16.6,1919,25.1,2006,11.0,1919,106.9,2019
08-18,153,38.5,1961,20.1,1987,28.1,"1961, 2006",16.8,1987,25.2,2006,11.0,1919,245.2,1971
08-19,153,32.0,"1969, 2017",22.7,1977,27.9,2006,16.9,1987,24.7,2006,12.6,1977,79.0,1884
08-20,153,33.4,1929,22.5,1978,27.5,2023,17.6,1876,23.5,"1901, 2015",12.4,1934,60.1,1967
08-21,153,35.5,1972,22.8,1922,28.1,1972,18.3,1876,23.8,"1929, 2023",15.7,1980,77.6,1990
08-22,153,33.4,2024,20.3,1918,28.5,1972,17.1,1918,24.1,2016,12.7,1922,43.3,1971
08-23,153,34.8,1957,20.8,1918,28.4,1957,17.4,2009,24.7,1999,13.1,1923,53.6,1960
08-24,153,33.5,1899,18.9,1960,28.0,1979,15.9,1960,24.0,2022,11.9,1918,101.2,1999
08-25,153,33.8,2008,18.4,1960,28.3,"2008, 2022",15.7,1960,24.9,1938,13.4,1923,152.5,1960
08-26,153,33.2,2006,20.1,1941,28.8,2022,16.0,1941,25.4,2022,12.2,1950,121.6,1953
08-27,153,36.3,2006,19.2,1960,29.1,2006,14.8,1960,24.1,1938,10.5,1980,81.3,2024
08-28,153,35.3,1969,21.1,1944,28.4,1969,16.6,1944,23.8,1929,12.0,1980,66.5,1966
08-29,153,32.8,2018,22.1,"1988, 2000",29.6,1885,15.7,1880,25.0,1938,11.6,1970,66.2,1994
08-30,153,33.4,1956,22.7,2000,28.4,2021,17.0,1880,24.9,2021,12.8,1944,78.1,2001
08-31,153,33.7,2006,20.9,2000,27.3,1929,15.4,1880,24.6,1929,10.6,1914,111.0,2000
