month_day,n_years_with_data,tmax_record_high,tmax_record_high_years,tmax_record_low,tmax_record_low_years,tmean_record_high,tmean_record_high_years,tmean_record_low,tmean_record_low_years,tmin_record_high,tmin_record_high_years,tmin_record_low,tmin_record_low_years,precip_record_high,precip_record_high_years
03-05,78,8.9,1995,-10.3,1987,4.7,1995,-16.6,1958,2.4,2020,-25.6,1958,10.1,1962
03-06,78,6.9,2025,-11.0,1964,4.9,"2020, 2025",-19.4,1964,3.7,2020,-27.9,1964,6.2,1990
03-07,78,12.0,2020,-9.5,1960,8.2,2025,-17.3,1960,5.5,"2020, 2025",-25.8,1960,8.1,1999
03-08,78,10.4,2025,-7.3,2012,6.6,2020,-13.3,1956,3.6,2020,-21.9,1956,5.7,1962
03-09,78,12.0,2020,-7.8,2021,7.5,2025,-12.1,2021,3.2,2015,-16.6,"2006, 2013",15.2,1959
03-10,78,13.9,2014,-12.3,2021,7.2,2014,-16.5,2021,4.3,2020,-21.3,2021,14.5,2020
03-11,78,13.0,2015,-9.3,1972,8.6,2025,-14.7,1972,4.6,2025,-20.7,2021,13.3,1998
03-12,78,11.0,2025,-7.0,2005,8.3,2025,-12.2,1981,6.5,2025,-18.7,1955,19.3,2023
03-13,78,11.5,2002,-11.4,1981,7.3,2025,-16.4,1981,4.8,2025,-22.4,1951,6.7,2008
03-14,78,13.7,2025,-9.2,1981,9.9,2025,-12.6,1981,4.7,2025,-18.1,1964,8.4,1988
03-15,78,9.8,2015,-9.6,1963,5.6,2023,-13.7,1963,4.0,2023,-18.4,1963,25.6,2013
03-16,78,10.3,2015,-8.4,1963,4.6,2007,-14.5,1963,2.7,1978,-21.2,1963,15.1,2001
03-17,78,11.6,2015,-14.8,1957,5.0,1990,-18.3,1957,3.8,1993,-22.5,1957,15.6,1949
03-18,78,13.4,2015,-10.4,1963,6.4,1989,-18.1,1963,4.2,1989,-24.6,1963,15.5,1979
03-19,78,13.6,2015,-13.9,1963,8.6,2020,-17.4,1963,4.9,2020,-21.9,1958,9.9,1960
03-20,78,16.8,1990,-11.5,1963,10.8,1990,-16.3,1963,5.4,1990,-23.5,1952,10.2,1951
03-21,78,13.0,2007,-10.7,1963,9.0,2007,-17.1,1963,4.1,2007,-24.5,1963,15.2,1997
03-22,78,15.4,2014,-8.1,1952,9.4,2007,-15.6,1958,4.7,2007,-23.0,1958,13.0,1949
03-23,78,14.6,2014,-7.9,2013,8.3,"1981, 2014",-17.5,1952,4.8,1990,-27.1,1952,15.0,1949
03-24,78,18.8,2014,-7.8,2013,12.5,2014,-16.3,1952,7.4,2014,-25.6,1952,12.4,1994
03-25,78,19.7,2014,-6.6,1952,11.8,2014,-14.0,1952,6.1,2004,-21.9,1952,9.1,2009
